POA_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2869,153,107,83,4,352,160,19,525,4,0,0,0,4,16,0,16,0,0,0,0,0,0,0,0,4,0,0,0,4,16,0,16,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,3,0,0,0,3,3,0,9,0,4,0,0,4,0,0,8,161,116,86,7,365,194,19,571
POA2870,1166,1160,529,35,2888,1050,94,4033,30,14,9,0,60,85,4,152,0,0,0,0,0,17,0,17,30,14,9,0,60,102,4,168,44,13,15,0,67,189,10,270,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,43,16,15,0,73,197,10,282,0,0,0,0,5,9,0,12,0,0,0,0,6,5,0,8,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,9,3,3,3,0,7,12,0,22,3,7,0,4,15,18,0,27,1250,1200,556,41,3045,1374,111,4533
POA2871,962,796,395,24,2173,815,72,3063,22,11,11,0,53,96,5,151,3,0,0,0,0,6,0,9,26,11,15,0,54,106,5,156,19,0,7,0,34,129,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,19,0,7,0,34,126,0,162,0,0,0,0,3,10,0,15,0,0,0,0,6,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,17,6,0,0,0,15,28,3,44,0,3,0,0,9,4,0,11,1019,813,418,31,2279,1082,79,3434
POA2873,77,57,3,0,140,71,8,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,78,57,6,0,142,77,8,223
POA2874,39,27,8,0,79,43,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,7,40,31,8,0,80,50,0,133
POA2875,104,70,34,6,205,90,3,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,104,74,34,6,207,97,3,313
POA2876,46,48,20,0,119,35,3,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,20,0,119,35,3,155
POA2877,345,331,139,21,833,359,24,1214,3,0,0,0,8,28,0,32,0,0,0,0,0,0,0,0,3,0,3,0,10,31,0,37,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,8,0,8,0,3,0,0,3,0,0,4,356,340,137,26,851,394,22,1275
POA2878,30,19,10,0,59,29,0,87,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,22,10,0,63,32,0,98
POA2879,64,26,29,4,123,89,4,217,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,13,67,30,32,4,129,99,12,234
POA2880,1901,1436,1030,85,4447,2434,158,7050,22,11,8,5,44,115,0,158,0,3,0,0,5,7,0,17,25,17,11,6,51,124,0,177,14,5,8,6,30,152,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,8,6,30,152,0,186,0,0,0,0,6,5,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,7,6,0,15,11,14,0,0,23,20,5,44,1945,1465,1050,93,4563,2742,168,7467
POA2898,47,35,6,0,89,33,3,126,0,0,0,0,0,0,0,0,0,9,0,0,11,15,0,22,3,9,0,0,12,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,11,3,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,40,11,0,109,52,6,161
POA3000,4,5,0,0,5,5,0,7,0,0,0,0,0,0,0,0,9,3,3,0,20,22,12,48,9,3,3,0,20,22,12,48,11,6,0,0,17,14,4,33,54,22,6,6,88,97,25,206,426,76,45,61,608,928,426,1963,4677,878,512,703,6765,9261,3333,19351,0,0,0,0,0,0,0,0,5167,984,564,762,7471,10300,3791,21559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,10,8,0,0,0,6,0,0,10,18,8,6,3,33,65,23,126,5201,993,569,767,7534,10393,3823,21750
POA3002,39,17,4,0,53,19,10,77,51,21,11,4,82,34,21,134,170,89,15,8,282,95,35,407,222,105,27,11,367,126,56,538,63,14,4,3,81,124,16,227,173,23,20,4,226,354,46,623,114,20,7,6,147,132,32,308,234,49,20,6,304,277,17,599,0,0,0,0,0,0,0,0,590,104,50,20,766,886,106,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,5,0,0,0,5,5,0,9,851,230,79,34,1195,1035,170,2396
POA3003,4,12,3,0,25,16,12,46,77,51,18,5,150,57,44,245,140,87,23,9,261,126,88,475,222,135,45,10,408,185,126,718,151,32,17,10,211,178,69,458,62,25,9,0,92,61,16,166,337,99,36,19,500,517,104,1116,401,120,42,26,600,545,180,1317,0,0,0,0,0,0,0,0,953,282,108,57,1400,1294,372,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,21,0,0,0,0,3,13,9,21,0,0,0,0,0,0,0,7,1180,432,153,73,1836,1504,512,3853
POA3004,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,5,0,5,0,0,3,0,0,7,33,14,3,0,56,55,10,122,87,26,9,0,119,129,29,272,148,60,25,11,246,231,41,516,1551,473,233,76,2338,2136,307,4783,0,0,0,0,0,0,0,0,1826,574,271,86,2758,2556,384,5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,5,13,0,25,1834,577,276,86,2773,2566,384,5728
POA3006,0,0,0,0,0,0,0,3,0,4,0,0,8,3,0,13,33,16,12,0,65,49,37,144,31,23,11,0,68,53,37,158,0,0,0,0,0,0,0,0,99,31,11,6,144,82,48,276,291,78,42,9,421,418,65,905,3159,830,404,237,4616,4545,1367,10530,0,0,0,0,0,0,0,0,3536,930,463,255,5185,5045,1477,11712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,9,0,4,0,0,9,0,0,9,11,6,0,0,20,17,7,43,3590,963,472,255,5284,5113,1520,11920
POA3008,13,14,0,0,31,6,0,41,0,0,0,0,0,0,0,0,42,38,8,0,89,12,6,108,42,38,8,0,89,12,6,108,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,362,101,31,23,521,409,86,1015,2100,782,242,107,3230,2532,589,6353,0,0,0,0,0,0,0,0,2459,885,274,136,3757,2939,683,7376,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,6,15,0,20,2524,938,286,139,3880,2973,689,7540
POA3011,1026,1108,363,86,2583,741,401,3724,122,72,35,14,244,161,46,453,275,202,109,25,612,276,113,998,396,273,143,31,852,441,152,1445,266,173,92,25,554,517,104,1179,192,86,47,16,340,389,66,792,304,75,51,28,452,644,93,1192,278,64,51,18,417,535,71,1018,4,0,0,0,6,3,0,10,1040,399,240,91,1768,2089,339,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4,3,33,26,13,69,13,9,4,3,33,26,13,69,5,0,5,0,4,10,0,16,2484,1792,751,218,5246,3300,906,9450
POA3012,1363,2183,638,103,4289,1120,388,5798,208,151,112,12,481,516,59,1057,570,476,160,39,1244,341,161,1748,777,625,272,50,1728,858,216,2803,179,97,84,23,380,622,70,1070,126,48,25,17,211,315,53,574,48,19,21,6,89,115,18,224,0,0,0,0,0,0,0,0,7,5,0,3,13,3,0,20,357,165,126,43,693,1059,140,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,25,12,3,41,10,11,0,0,25,12,3,41,0,0,3,0,6,9,0,16,2517,2984,1043,198,6744,3051,758,10550
POA3013,1121,1724,388,57,3285,857,202,4346,91,49,29,5,172,141,20,330,206,187,58,7,463,149,43,650,291,241,87,11,630,294,61,981,44,21,12,5,91,151,27,272,70,6,10,6,98,132,17,236,10,3,3,0,16,24,7,45,30,6,8,0,42,59,3,104,0,3,0,0,3,0,0,0,155,43,35,11,245,363,53,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6,10,0,37,25,9,74,27,6,10,0,37,25,9,74,0,0,0,0,0,5,0,5,1588,2010,518,82,4199,1543,317,6060
POA3015,1017,1917,442,58,3431,808,135,4373,172,133,60,12,382,274,21,671,380,548,126,12,1061,254,40,1364,553,677,190,26,1444,528,65,2042,78,42,40,7,165,204,19,396,15,0,0,0,15,18,3,39,5,0,4,0,11,8,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,45,44,7,193,235,28,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,11,18,3,31,3,4,4,0,11,16,3,30,0,6,0,0,3,0,0,4,1673,2645,678,89,5081,1591,227,6897
POA3016,927,1524,276,32,2764,511,49,3321,170,143,77,0,391,362,13,764,311,458,130,8,900,237,15,1159,482,598,207,10,1294,603,25,1926,70,28,30,10,141,237,18,395,33,17,7,0,59,78,3,134,49,13,8,0,70,87,0,164,19,6,23,7,52,97,3,150,0,0,0,0,0,0,0,4,167,62,71,15,310,500,28,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,7,0,3,3,0,5,0,0,7,3,4,0,0,12,12,0,19,1581,2188,556,58,4387,1631,102,6118
POA3018,988,1241,377,41,2647,836,86,3573,200,116,52,6,379,385,14,780,265,224,84,4,582,197,22,802,469,338,139,10,962,584,40,1578,39,13,16,3,73,134,5,209,3,0,0,0,6,59,0,63,29,15,21,0,59,85,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,75,23,32,5,138,278,9,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,15,4,0,0,0,4,7,0,15,0,0,0,0,0,0,0,3,1536,1605,549,62,3755,1709,133,5591
POA3019,267,506,334,49,1157,333,117,1604,138,132,118,22,408,328,30,775,221,280,100,24,627,144,105,881,362,413,218,43,1034,481,135,1654,10,6,4,0,14,12,4,26,19,7,6,0,33,15,13,57,9,3,3,0,21,16,9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,11,6,63,50,14,131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,10,3,5,3,0,6,9,0,21,0,0,0,0,0,4,0,4,670,935,567,95,2271,876,272,3412
POA3020,2520,3881,1880,257,8534,2471,615,11614,208,261,169,26,675,379,79,1130,315,424,184,32,950,264,111,1329,522,687,354,57,1627,645,187,2459,141,131,108,16,389,477,45,911,12,6,0,0,16,22,4,50,7,4,0,0,15,11,0,22,11,6,6,4,27,53,14,91,3,3,7,0,15,6,0,24,178,148,117,20,462,565,64,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,0,4,12,0,18,3,3,0,0,6,8,0,16,12,0,5,0,11,9,0,18,3235,4719,2352,334,10637,3703,871,15211
POA3021,3205,4933,2657,315,11103,2807,590,14505,200,289,184,34,704,430,63,1198,194,281,165,36,680,202,72,949,388,574,348,70,1379,633,133,2151,212,263,173,36,682,420,64,1168,7,4,5,0,11,19,0,30,0,0,0,0,4,10,0,13,0,0,0,0,0,0,0,0,0,8,0,0,11,4,0,18,222,270,185,33,712,457,58,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,3,0,17,7,6,27,9,6,3,0,21,5,6,31,5,3,3,3,16,11,0,21,3835,5786,3186,424,13235,3911,786,17935
POA3022,170,246,130,22,571,254,51,876,22,21,19,3,62,35,3,111,34,23,20,5,75,40,4,120,56,45,30,4,144,81,5,229,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,29,0,0,0,0,0,0,0,0,229,299,163,29,722,366,57,1143
POA3023,3185,8942,2361,249,14733,2302,389,17430,160,233,103,7,508,322,18,848,205,351,235,26,814,207,27,1053,371,586,337,28,1320,533,48,1894,6,0,4,0,10,26,0,35,14,6,5,0,31,30,0,62,70,18,29,5,132,104,13,246,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,9,98,32,43,8,176,165,14,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,0,5,7,0,12,3652,9558,2752,283,16242,3009,449,19696
POA3024,1929,4922,1428,111,8394,1341,283,10022,65,118,50,8,242,89,24,345,36,19,20,5,81,16,9,104,103,132,80,7,319,109,27,451,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,3,3,3,0,9,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2035,5065,1509,117,8729,1454,315,10489
POA3025,775,1110,412,59,2359,803,76,3233,118,113,50,4,281,192,16,489,208,269,107,11,601,162,34,796,322,383,160,16,882,348,46,1280,19,8,5,3,31,82,3,117,3,8,13,0,23,12,0,34,4,0,0,0,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,19,4,63,93,3,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,0,0,0,0,9,4,0,9,0,0,0,0,6,0,0,4,1126,1510,596,80,3313,1255,130,4697
POA3026,323,1375,287,23,2007,179,56,2245,3,3,0,0,14,7,0,19,13,9,10,0,29,22,5,54,14,15,13,0,38,28,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,0,11,30,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,31,0,45,0,0,0,0,0,0,0,0,342,1392,307,26,2061,243,56,2368
POA3027,509,1378,213,41,2147,222,149,2507,10,25,0,0,33,0,3,41,29,41,10,0,83,25,6,115,36,70,10,0,120,26,14,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,16,10,4,75,70,11,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,10,4,78,70,11,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,583,1468,238,49,2339,321,164,2823
POA3028,2163,3098,1231,127,6619,2082,309,9016,159,163,80,13,406,279,28,717,106,102,39,6,251,75,15,344,257,265,122,20,657,356,49,1062,56,62,57,4,178,170,13,356,0,0,0,0,0,0,0,0,9,4,4,0,15,46,3,64,0,0,0,0,0,0,0,0,4,3,0,0,8,4,0,10,66,70,61,4,200,217,14,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,11,0,0,0,0,3,5,0,11,0,0,0,0,5,8,4,7,2486,3432,1412,151,7483,2663,375,10524
POA3029,6371,18053,3459,507,28392,3931,1199,33516,576,1151,322,34,2081,533,103,2721,134,258,93,18,500,175,38,717,704,1403,420,55,2584,709,144,3435,166,156,127,19,466,441,31,935,0,0,0,0,0,0,0,0,6,0,0,0,6,33,0,41,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,174,155,124,24,482,476,31,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,3,15,6,0,26,10,0,32,7256,19628,4014,580,31480,5122,1372,37971
POA3030,6873,16351,4042,426,27687,4798,909,33400,484,675,292,30,1483,1132,82,2697,376,534,235,25,1174,402,97,1673,863,1211,524,53,2648,1534,184,4370,181,68,47,10,302,252,12,569,0,3,0,0,10,11,7,23,84,15,15,7,118,160,10,290,0,0,0,0,0,0,0,0,6,0,0,0,6,8,0,12,270,89,68,13,436,429,28,892,13,0,0,0,8,19,0,33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,14,0,0,0,16,18,0,40,0,0,0,0,0,8,0,13,8022,17649,4635,495,30796,6786,1124,38707
POA3031,391,524,125,27,1063,281,141,1491,359,210,63,13,648,371,109,1131,602,499,190,46,1332,577,201,2114,962,707,247,58,1978,951,308,3238,69,17,16,0,109,193,28,327,155,47,37,10,246,527,51,822,208,63,44,5,321,439,56,807,147,117,215,36,509,563,47,1111,0,0,0,0,0,0,0,0,580,238,307,54,1184,1714,178,3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,16,11,33,4,0,0,0,10,16,11,33,0,0,0,0,3,3,0,8,1941,1473,689,140,4241,2967,637,7842
POA3032,1114,2039,433,66,3652,755,201,4607,233,217,65,15,518,236,49,806,646,697,193,39,1570,503,166,2241,876,908,255,53,2092,737,214,3050,223,94,66,21,400,496,82,975,245,128,175,24,572,643,97,1308,485,156,89,33,768,789,137,1690,113,23,18,3,160,225,14,404,0,3,0,0,0,3,0,8,1057,413,350,87,1907,2148,336,4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10,6,0,22,3,4,0,0,10,6,0,22,4,4,4,0,7,4,0,13,3049,3364,1040,207,7663,3667,756,12080
POA3033,1201,1756,515,44,3516,788,77,4390,93,89,57,0,243,139,10,390,141,200,90,8,442,146,23,614,236,295,142,8,687,284,29,1003,4,5,0,4,22,25,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,4,25,25,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,4,0,11,0,4,0,0,8,4,0,11,0,0,0,0,0,4,0,4,1442,2058,664,57,4235,1107,112,5447
POA3034,925,1235,420,46,2625,759,70,3449,53,68,36,4,158,124,9,288,209,262,73,14,557,139,14,708,262,327,111,14,716,265,21,996,6,0,3,0,11,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,11,14,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,5,8,0,16,3,3,4,0,5,8,0,16,0,0,0,0,0,0,0,0,1191,1564,537,67,3357,1044,93,4491
