POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6224,144,296,4,12,11,50,11,44,62,257,87,359,3,8,12,36,28,88,41,139,131,495,0,3,0,0,5,12,20,51,22,68,0,0,9,10,31,64,33,73,58,139,7,19,340,951
POA6225,1095,2165,11,50,82,372,48,213,445,1758,587,2388,39,158,57,186,185,561,283,902,873,3300,5,39,29,95,25,82,164,464,220,680,8,43,21,47,143,292,177,384,398,1067,32,61,2386,6590
POA6226,118,227,8,35,12,61,6,41,63,256,91,389,6,27,12,27,22,72,34,126,132,514,0,0,0,0,0,0,10,29,10,29,0,0,0,4,7,25,5,26,19,54,0,4,270,798
POA6227,87,163,6,20,15,58,4,28,61,258,88,355,5,29,0,3,17,54,27,93,117,447,0,0,0,0,0,0,13,50,18,47,0,4,0,0,5,11,6,9,25,60,0,0,225,671
POA6228,17,36,0,5,3,9,0,3,5,29,9,47,0,0,0,5,5,7,4,15,13,60,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,3,4,3,9,0,0,37,104
POA6229,29,58,0,0,0,0,0,0,3,17,3,17,0,0,3,9,4,7,3,17,7,31,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,3,38,86
POA6230,4816,9455,78,405,483,2132,170,741,2498,9607,3231,12884,210,843,348,1079,728,2250,1291,4170,4515,17053,25,126,166,537,109,368,1012,2722,1309,3749,64,206,175,350,732,1530,971,2082,2284,5835,158,340,11777,32679
POA6232,1265,2479,24,119,127,570,63,275,807,3095,1024,4068,38,170,63,200,230,720,340,1094,1360,5158,9,49,39,130,24,90,218,555,292,827,15,52,32,70,137,305,185,424,476,1251,33,73,3143,8963
POA6233,2342,4565,61,327,280,1272,85,375,1479,5737,1903,7707,108,413,150,449,387,1182,646,2043,2550,9757,9,48,70,244,40,136,387,1060,507,1480,41,117,65,142,202,419,308,679,815,2161,54,102,5759,16587
POA6236,325,644,9,34,28,112,7,47,121,483,165,676,13,52,20,65,56,168,89,286,258,966,0,3,3,6,0,4,23,57,28,74,4,7,8,24,22,49,33,81,59,154,4,8,649,1769
POA6237,376,746,7,24,29,119,9,41,169,671,212,848,12,60,22,66,81,248,117,371,324,1221,4,8,6,18,5,12,36,103,49,141,0,0,3,12,24,50,31,66,77,207,3,9,785,2179
POA6239,649,1265,9,61,47,219,17,79,262,1031,338,1397,21,75,27,74,87,276,136,424,471,1818,0,0,9,31,9,20,56,170,74,216,3,13,5,21,73,150,85,180,157,400,16,28,1299,3524
POA6240,40,74,0,0,0,0,0,9,9,27,8,34,3,9,3,5,4,6,6,17,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,129
POA6243,11,23,0,0,0,0,0,0,4,10,4,10,0,7,0,3,0,4,4,17,12,31,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,4,3,11,0,0,23,61
POA6244,230,451,0,0,9,38,0,15,95,398,112,454,5,10,10,27,17,45,30,82,144,541,0,0,3,17,0,0,18,51,20,66,0,3,6,11,17,39,25,56,51,123,4,8,423,1114
POA6251,48,89,0,0,6,20,4,11,17,66,28,94,3,10,0,0,3,18,10,25,30,122,0,0,0,5,0,0,4,9,7,10,0,0,0,0,3,8,3,8,12,17,0,0,89,237
POA6252,27,53,0,0,0,3,0,0,8,25,8,29,0,0,0,5,0,11,6,17,14,43,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,5,0,4,42,102
POA6253,124,244,0,0,13,49,0,0,25,96,34,145,3,14,4,4,3,16,10,28,43,175,0,0,0,0,0,0,3,15,3,15,0,0,3,5,0,5,6,16,19,30,0,0,189,447
POA6254,71,133,0,0,5,32,0,6,20,96,31,132,0,3,3,3,4,17,6,31,40,161,0,0,0,0,4,8,3,10,5,23,0,0,0,5,11,15,15,21,21,42,0,4,126,339
POA6255,686,1353,3,36,44,203,15,64,237,948,308,1252,15,69,24,62,66,200,108,329,406,1580,0,3,12,25,11,30,47,119,66,176,4,8,18,31,54,100,67,135,131,318,5,21,1239,3267
POA6256,57,118,0,3,3,11,6,20,27,113,36,149,3,10,4,6,12,27,13,43,47,188,0,0,0,3,0,0,5,8,3,15,0,0,0,0,0,0,0,0,3,15,0,0,117,320
POA6258,809,1586,12,72,47,234,32,133,350,1379,445,1817,32,118,36,121,108,330,173,568,615,2386,6,21,21,78,8,37,92,246,128,383,6,27,22,37,83,178,111,240,239,627,23,50,1687,4655
POA6260,162,306,4,7,13,56,6,27,57,230,83,321,8,24,9,20,34,95,46,139,127,462,0,3,5,11,4,11,9,25,17,55,3,4,3,5,16,35,21,45,37,105,3,9,327,872
POA6262,108,214,0,0,0,19,0,0,36,135,40,159,3,9,6,17,17,40,22,66,56,215,0,3,0,0,0,3,7,21,8,31,0,0,0,0,4,9,5,8,14,37,3,8,185,481
POA6271,436,844,8,48,43,175,10,44,209,790,264,1059,16,65,29,98,65,186,110,347,374,1410,3,9,17,48,3,17,71,196,92,271,7,15,8,22,45,92,65,131,158,403,6,15,977,2662
POA6275,244,475,5,14,9,41,5,18,65,240,78,311,0,10,5,17,31,77,33,105,114,416,0,6,0,3,0,3,10,29,15,40,0,0,9,15,17,33,26,53,39,96,3,6,399,993
POA6280,3921,7675,57,295,352,1575,141,602,1737,6734,2285,9201,118,471,220,662,532,1608,866,2736,3157,11938,21,96,115,382,52,178,523,1387,714,2040,30,83,98,220,378,787,510,1090,1218,3128,74,149,8369,22895
POA6281,1035,2009,8,45,98,398,32,107,661,2488,792,3047,27,97,70,219,94,289,192,601,987,3644,0,0,36,97,6,24,116,281,160,401,9,24,21,40,66,138,94,199,257,599,9,20,2287,6276
POA6282,214,416,0,22,20,79,4,21,107,410,133,530,5,6,12,46,28,80,49,133,178,665,0,0,5,6,0,0,8,21,15,30,0,0,4,9,9,6,12,17,24,48,0,0,418,1130
POA6284,284,547,0,14,35,144,6,26,271,1019,317,1207,9,53,13,53,21,75,53,180,371,1380,0,0,4,6,0,6,40,111,45,128,7,12,3,10,20,36,28,57,70,181,8,8,731,2120
POA6285,1043,2016,19,90,119,504,27,106,797,2974,960,3679,34,132,83,238,114,330,226,703,1188,4381,4,11,38,119,19,65,196,472,262,671,14,48,36,70,124,249,174,364,438,1034,19,36,2683,7472
POA6286,112,218,0,0,8,38,3,19,62,240,75,294,0,3,3,6,10,30,12,40,87,334,0,0,6,0,0,0,11,21,10,26,0,0,0,0,13,16,10,22,19,48,4,3,225,601
POA6288,87,164,0,0,5,39,5,14,23,101,41,156,5,8,0,8,13,41,18,56,61,214,0,0,0,7,0,3,4,15,6,26,0,8,0,0,5,10,6,21,12,41,0,0,155,418
POA6290,336,665,0,3,8,33,4,8,63,230,74,275,3,14,7,19,34,95,42,125,115,399,0,0,0,3,5,11,18,53,28,63,0,5,4,5,22,44,23,48,51,113,0,7,513,1185
POA6302,529,1040,4,15,27,111,14,60,142,573,185,756,12,35,16,38,61,196,86,267,270,1028,5,10,7,22,9,26,47,134,70,198,3,8,3,8,59,118,67,136,133,333,7,16,938,2413
POA6304,250,488,3,17,8,39,6,24,70,269,86,346,5,19,23,51,32,105,65,171,145,521,0,0,0,0,0,0,18,43,20,49,0,0,4,10,23,47,26,53,47,103,8,17,455,1122
POA6306,126,253,0,7,7,20,5,11,53,210,65,253,6,7,6,10,19,62,30,85,93,335,0,5,4,16,0,0,10,21,7,40,0,0,0,5,10,24,15,25,19,73,6,9,250,666
POA6308,226,442,4,16,9,44,7,27,68,271,86,367,9,18,3,14,35,109,49,137,135,511,0,0,4,20,5,10,19,55,27,82,0,0,3,4,26,53,29,58,51,138,5,10,415,1099
POA6309,42,86,0,3,5,19,0,8,5,35,14,62,0,0,3,4,3,15,9,22,23,86,0,0,0,0,0,0,8,11,8,11,0,4,0,0,4,14,7,14,11,31,0,0,83,198
POA6311,99,185,0,0,8,30,0,8,29,112,39,150,0,5,3,7,11,40,19,52,58,203,0,0,0,7,0,10,0,13,4,29,0,0,0,0,5,12,5,12,17,39,3,8,170,433
POA6312,493,963,4,27,40,193,15,63,221,838,282,1118,14,51,15,43,73,235,100,327,381,1445,0,11,19,57,15,40,86,230,119,340,6,24,12,31,65,138,88,191,205,530,15,32,1093,2972
POA6313,32,74,0,0,0,8,0,0,18,68,19,76,3,8,0,8,5,14,5,23,26,100,0,5,0,0,0,0,5,9,0,9,0,0,0,0,0,10,3,9,7,19,0,4,71,190
POA6315,249,487,0,3,21,98,0,13,81,337,110,454,3,16,8,14,25,85,39,119,149,575,0,8,4,10,6,3,29,81,36,97,0,0,8,7,25,59,35,66,69,170,6,7,472,1235
POA6316,43,89,0,0,4,6,5,8,25,122,31,137,0,3,0,7,9,26,13,41,46,179,0,0,0,4,0,0,3,4,5,9,0,0,3,0,3,8,5,15,9,26,0,4,104,289
POA6317,465,938,7,61,40,177,16,92,213,855,277,1182,14,50,20,62,68,203,99,311,380,1501,3,12,11,42,6,22,65,199,86,287,4,15,9,20,61,133,71,165,159,451,17,52,1019,2935
POA6318,60,123,0,0,5,11,0,0,33,139,35,147,0,3,3,9,11,32,12,39,49,191,0,0,0,3,0,0,4,20,6,28,0,4,0,8,6,15,10,23,17,47,0,0,134,360
POA6320,67,128,0,0,5,11,0,9,33,139,37,159,0,12,8,16,5,26,18,51,56,203,0,6,7,12,3,12,5,20,11,52,0,0,0,4,10,19,12,31,23,73,0,0,142,413
POA6321,63,127,0,3,8,28,0,7,21,95,29,134,3,6,3,9,3,17,8,25,37,161,0,0,0,5,0,5,12,22,12,36,0,0,0,3,3,8,3,11,18,48,0,3,119,332
POA6322,37,69,0,7,0,8,0,6,19,62,21,83,0,0,0,5,5,14,4,17,27,96,0,0,0,0,0,3,6,7,4,11,0,0,0,0,0,4,0,6,5,14,0,3,69,179
POA6323,165,324,0,9,3,23,7,44,41,177,61,254,0,7,8,20,19,48,24,79,89,331,0,3,0,0,4,9,20,47,21,62,0,0,3,13,10,22,11,31,38,96,3,8,294,756
POA6324,490,959,3,35,40,174,9,48,192,716,243,973,10,54,27,81,72,216,115,359,356,1329,0,6,8,34,0,11,51,143,63,192,7,12,8,22,36,76,55,113,117,307,8,15,971,2615
POA6326,84,157,0,6,4,29,3,16,21,92,38,142,3,7,0,5,12,37,19,49,50,188,0,6,0,4,0,0,3,5,6,13,0,0,0,0,14,23,14,23,19,44,0,4,151,396
POA6327,27,54,0,0,4,10,3,9,19,80,25,104,3,5,0,0,6,20,10,30,35,128,0,0,0,0,0,0,4,6,4,6,0,0,0,0,0,0,0,0,0,9,0,0,66,194
POA6328,59,123,0,4,0,11,3,12,27,114,32,136,0,3,4,12,5,17,12,30,42,174,0,0,0,0,6,11,3,6,7,18,0,0,0,0,0,0,4,9,7,22,0,0,115,315
POA6330,4700,9282,101,560,374,1712,140,619,2006,7863,2619,10765,138,561,257,812,658,2030,1060,3404,3680,14169,16,64,132,459,76,273,632,1737,858,2526,50,176,121,255,526,1133,703,1568,1565,4092,122,253,10060,27796
POA6333,837,1606,11,44,68,293,20,81,335,1289,428,1711,16,61,40,124,73,224,138,410,561,2119,0,6,17,54,3,13,95,242,115,314,12,24,33,68,54,112,94,209,214,516,4,9,1613,4251
POA6335,85,174,4,27,6,34,4,19,55,226,75,301,0,4,6,7,11,40,18,57,89,361,0,0,0,4,0,0,3,13,8,18,0,0,0,0,8,17,8,17,13,32,0,5,192,574
POA6336,38,79,0,0,0,5,0,0,24,94,23,98,0,0,3,8,8,26,10,36,34,133,0,0,0,0,0,4,11,21,9,21,0,0,0,0,4,5,4,5,12,28,0,0,89,237
POA6337,53,100,0,6,8,30,3,14,39,164,52,216,0,0,3,10,10,15,12,26,63,241,0,0,0,0,0,0,5,18,5,18,0,0,0,0,5,9,5,11,14,29,0,5,122,369
POA6338,108,203,0,7,10,26,0,12,50,186,57,228,0,3,5,8,9,16,11,31,74,264,0,0,0,5,0,3,3,21,3,27,0,0,0,0,0,0,4,5,9,31,5,5,193,510
POA6341,26,47,0,0,4,8,0,0,31,105,31,108,0,3,8,17,0,7,9,27,39,140,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,5,0,5,3,4,0,0,63,198
POA6343,21,37,0,5,3,7,0,0,22,76,27,90,0,6,0,4,0,13,8,21,32,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,151
POA6346,86,167,0,7,6,41,3,15,49,201,62,261,4,8,4,5,5,22,14,40,79,297,0,0,0,3,0,6,12,27,14,33,0,0,0,4,9,19,12,19,21,52,3,7,190,526
POA6348,159,304,0,6,6,25,0,4,73,273,79,315,3,7,6,9,7,15,11,39,87,348,0,0,0,4,6,13,17,36,18,53,0,0,0,0,15,30,20,29,35,81,5,6,283,734
POA6350,45,95,0,0,3,12,0,0,23,73,22,84,0,0,0,4,0,4,5,11,22,95,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,9,4,6,3,11,0,3,75,196
POA6351,7,10,0,0,3,6,0,0,7,23,9,26,0,0,0,0,0,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43
POA6352,15,39,0,0,5,7,0,0,15,49,16,56,0,0,0,0,0,0,0,0,16,56,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,0,0,0,0,10,0,0,38,104
POA6353,88,179,0,0,14,39,0,17,54,228,72,279,0,4,4,12,13,51,21,68,96,348,0,0,3,6,0,0,4,22,6,23,0,0,0,0,4,10,4,12,11,38,0,0,198,562
POA6355,59,125,0,0,3,15,0,0,37,142,43,163,0,3,5,9,4,12,10,26,49,183,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,5,4,11,0,4,120,323
POA6356,8,23,0,4,0,3,0,0,5,36,10,39,3,3,3,4,0,0,6,4,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,26,71
POA6357,8,16,0,0,6,5,0,0,3,11,5,17,0,0,0,3,0,3,3,7,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42
POA6358,15,28,0,0,0,0,0,0,6,25,6,25,0,0,0,3,0,0,0,9,13,35,0,0,0,6,0,0,0,4,0,12,0,0,0,0,0,0,0,0,4,15,0,0,26,71
POA6359,45,85,0,0,5,7,0,6,26,94,26,106,3,7,3,4,4,19,8,25,35,128,0,0,0,0,0,0,7,11,7,11,0,0,0,0,6,8,3,10,12,21,4,4,91,247
POA6361,10,18,0,0,0,11,0,0,8,29,10,36,0,0,0,0,0,0,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,5,4,5,0,0,18,54
POA6363,13,27,0,6,0,4,0,0,7,23,11,40,0,0,0,3,0,0,0,3,13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,76
POA6365,67,139,0,3,4,10,0,0,43,180,49,190,0,5,3,3,3,14,7,21,56,212,0,0,0,0,0,0,7,13,7,13,0,0,0,6,4,10,4,12,13,22,0,0,140,378
POA6367,57,106,0,0,6,13,5,7,19,58,22,74,0,3,0,0,0,0,6,8,25,82,0,0,0,0,0,0,3,17,3,17,0,0,5,3,5,8,8,9,14,27,0,4,86,215
POA6368,10,27,0,0,0,0,0,0,9,34,9,34,0,0,0,0,4,4,4,4,6,44,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,24,71
POA6369,86,159,0,0,9,21,0,0,41,158,49,183,0,5,3,8,4,24,11,29,57,212,0,0,0,0,3,10,3,18,9,25,0,4,0,0,4,10,6,12,17,35,0,0,156,413
POA6370,53,105,0,5,0,13,0,0,31,118,32,138,0,0,0,3,4,19,7,18,36,157,0,0,0,8,0,0,5,14,10,21,0,0,0,0,3,9,3,9,11,29,4,4,105,297
POA6372,19,36,0,0,0,4,0,0,5,17,7,20,0,0,0,0,0,9,0,9,4,28,0,0,0,4,0,0,0,5,3,3,0,0,0,0,0,5,0,5,0,10,0,0,31,71
POA6373,16,24,0,0,0,3,0,0,9,29,8,33,3,5,0,0,4,12,9,18,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,73
POA6375,128,254,0,9,4,22,4,9,49,205,63,250,3,10,0,6,11,38,18,52,78,298,0,4,0,3,4,5,9,14,12,31,0,0,4,7,3,8,7,14,17,40,3,6,223,592
POA6383,117,231,0,5,3,14,0,6,38,161,45,185,4,4,4,6,6,15,10,30,60,211,0,0,0,0,0,15,9,24,11,37,0,0,3,6,11,17,13,26,24,62,4,5,205,519
POA6384,0,7,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,6,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
POA6385,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14
POA6386,4,11,0,0,5,0,0,0,0,11,4,17,0,3,0,0,0,13,5,13,6,31,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,4,3,18,50
POA6390,190,371,4,9,19,80,5,30,111,439,138,558,4,13,8,25,23,69,40,110,181,667,0,0,3,22,6,4,29,87,35,109,0,5,0,3,24,40,21,51,57,164,7,15,437,1213
POA6391,139,273,0,0,12,51,0,8,77,315,89,372,0,0,7,18,11,30,14,49,110,420,0,5,4,9,0,3,6,15,11,33,0,0,0,0,7,15,11,21,20,55,0,3,267,749
POA6392,64,125,0,0,3,21,0,3,21,81,23,100,7,10,0,0,10,20,12,27,36,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,13,3,10,0,0,111,277
POA6393,14,31,0,0,0,5,0,0,4,28,6,29,0,4,0,5,0,10,3,15,12,42,0,0,0,0,0,9,0,8,5,16,0,0,0,0,0,3,0,3,7,20,0,0,31,90
POA6394,73,143,0,0,0,0,0,8,28,114,27,124,3,11,3,9,11,27,18,44,48,164,0,0,0,0,0,0,4,17,4,17,0,0,0,0,4,4,0,7,12,25,0,3,130,334
POA6395,167,339,3,10,16,39,3,18,103,438,126,502,9,14,6,22,28,88,39,126,171,627,0,0,3,10,5,14,16,49,22,69,0,0,0,3,11,28,16,32,35,102,0,0,379,1074
POA6396,41,73,0,0,3,7,3,14,32,100,32,118,0,0,3,4,13,27,10,27,43,147,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,3,0,3,7,10,0,0,89,232
POA6397,13,27,0,0,0,0,0,4,4,13,4,13,0,0,0,3,0,4,0,6,8,18,0,0,0,0,0,0,4,8,4,8,0,0,0,0,4,4,4,3,5,13,0,0,23,59
POA6398,109,202,0,0,0,5,0,0,17,61,18,67,0,3,5,24,4,12,12,38,31,104,0,0,0,11,0,3,8,11,11,29,0,0,5,3,5,9,8,17,17,38,0,4,153,356
POA6401,892,1737,19,134,53,263,24,120,387,1536,484,2050,25,95,42,126,131,422,200,641,688,2692,14,73,32,106,23,99,147,428,217,693,4,20,27,65,140,311,175,395,393,1091,28,60,2001,5580
POA6403,17,35,0,0,0,14,0,0,3,14,9,36,0,0,6,12,0,7,6,27,14,52,0,0,0,0,0,5,0,11,7,17,0,0,0,0,0,4,0,4,6,15,0,0,44,109
POA6405,32,64,0,8,5,31,0,8,25,99,33,147,0,0,0,0,6,13,6,13,36,156,0,0,4,4,0,0,0,3,5,9,0,0,0,0,5,7,5,7,10,19,0,0,79,239
POA6407,94,185,0,8,11,54,4,5,57,238,79,310,5,15,5,19,15,47,25,87,102,393,0,9,0,8,0,0,10,19,11,38,0,3,0,3,10,15,14,26,23,58,3,7,223,638
POA6409,36,63,4,14,6,30,0,0,20,61,32,109,3,3,0,5,9,22,12,29,38,134,0,0,5,13,0,0,3,17,7,28,0,0,0,3,3,10,9,16,16,46,5,4,87,252
POA6410,116,238,0,10,9,42,3,14,36,130,45,189,0,8,12,25,11,45,25,75,73,262,0,0,3,10,0,0,17,41,15,49,0,8,3,9,19,42,21,52,36,103,4,8,230,609
POA6411,23,46,0,5,0,0,0,0,4,18,5,29,0,0,0,3,3,13,7,19,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,5,38,90
POA6412,3,9,0,0,0,0,0,0,3,15,3,15,0,0,0,3,0,8,5,11,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34
POA6413,9,21,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,9,4,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38
POA6414,10,16,0,0,0,0,0,0,3,23,3,23,0,3,0,0,0,4,0,10,6,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4,4,0,0,18,50
POA6415,314,614,5,28,26,113,4,32,173,645,205,815,5,18,11,35,34,118,57,170,260,986,0,5,10,24,10,38,37,106,58,173,0,0,5,12,37,81,41,91,99,264,8,12,679,1867
POA6418,77,159,0,5,10,23,3,17,46,184,61,232,3,7,0,7,5,20,12,42,65,268,6,12,5,13,0,0,8,30,11,48,0,0,0,0,5,11,5,11,23,67,3,4,172,498
POA6419,13,23,0,0,0,7,0,0,0,9,4,12,0,0,0,0,3,6,3,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42
POA6420,6,10,0,0,0,3,0,0,4,27,9,30,0,0,0,0,0,9,0,9,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,0,20,61
POA6421,14,25,4,8,5,17,0,3,11,40,15,67,0,0,0,0,0,4,0,9,20,70,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,5,3,3,6,0,0,36,109
POA6422,7,16,0,0,0,4,0,0,5,26,8,28,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,5,11,5,11,0,0,0,0,0,0,0,0,5,11,0,0,15,54
POA6423,27,58,0,0,0,5,0,0,8,26,9,27,0,6,0,0,0,3,3,6,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,92
POA6424,8,19,0,0,3,3,0,0,3,11,3,12,0,3,0,0,0,0,0,6,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38
POA6425,17,34,0,0,0,7,0,0,4,15,3,17,0,0,0,3,0,3,0,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,56
POA6426,94,184,0,6,4,12,0,0,28,107,32,125,7,12,4,3,9,26,17,46,45,168,0,0,0,0,0,0,12,35,11,35,0,0,0,0,8,20,11,16,22,55,0,0,164,404
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,9,13,0,0,3,4,0,4,0,14,4,22,0,4,0,0,0,0,0,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
POA6429,101,192,0,0,3,10,6,20,34,134,43,166,0,0,0,4,12,34,14,43,60,209,0,0,3,6,9,18,20,56,25,87,0,0,4,12,12,21,16,29,44,113,6,11,199,525
POA6430,1982,3905,45,258,190,893,117,547,1712,6643,2067,8336,91,351,132,402,386,1200,605,1957,2678,10296,11,62,45,161,34,123,353,982,443,1322,16,49,41,83,221,482,279,617,730,1940,87,177,5469,16315
POA6431,51,99,0,4,5,22,10,45,30,126,45,202,0,4,0,6,6,17,12,30,53,227,0,0,0,9,5,20,22,67,28,99,0,0,0,5,13,37,17,38,43,142,3,16,148,477
POA6432,564,1120,14,71,41,206,33,164,397,1585,485,2028,17,73,25,76,106,317,147,468,632,2501,0,14,12,43,11,49,160,439,191,544,5,11,15,37,116,253,136,301,325,851,32,63,1556,4539
POA6434,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA6436,6,14,0,0,0,8,0,0,6,14,4,18,0,0,0,5,4,4,3,16,7,36,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,6,0,7,21,56
POA6437,37,61,0,0,3,11,0,6,46,183,47,208,0,0,0,0,0,4,0,4,50,212,0,0,0,0,0,0,8,20,7,16,0,0,0,0,5,5,3,6,8,29,0,4,100,306
POA6438,58,114,0,0,4,17,4,13,21,75,28,102,0,6,0,3,7,21,8,29,35,131,0,11,0,0,4,15,12,36,18,63,0,0,0,0,8,18,8,18,23,83,0,0,113,325
POA6440,50,104,0,0,4,29,3,31,21,78,27,139,0,0,0,6,7,17,4,18,35,163,0,0,0,0,5,11,23,73,24,89,0,0,0,3,4,8,4,8,25,96,9,17,120,377
POA6442,215,426,4,26,18,92,8,47,147,559,181,724,8,22,13,42,24,87,46,150,231,869,0,3,6,19,6,11,47,125,58,159,6,19,5,13,19,37,34,67,89,232,12,21,550,1547
POA6443,64,123,0,4,0,8,4,11,16,59,23,89,0,4,0,0,3,19,7,17,27,108,0,0,0,7,5,8,10,24,17,40,0,0,0,0,20,35,20,35,34,75,5,11,131,320
POA6445,20,43,0,0,7,23,0,0,9,44,21,63,0,0,0,4,0,0,0,4,20,68,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,4,8,0,0,45,117
POA6446,17,35,0,0,0,10,0,3,12,31,12,42,0,0,0,3,0,0,4,9,13,50,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,3,3,0,0,35,88
POA6447,25,43,0,0,6,9,0,0,11,49,15,64,0,0,4,15,0,5,7,19,24,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,127
